pathway	100seq_sampleA1	100seq_sampleA2	100seq_sampleA3	100seq_sampleB1	100seq_sampleB2	100seq_sampleB3	100seq_sampleC1	100seq_sampleC2	100seq_sampleC3
NAD-BIOSYNTHESIS-II	13.4485	13.4485	13.4485	3.0668	3.0668	3.0668	7.5929	7.5929	7.5929
NADSYN-PWY	2.612	2.612	2.612	17.7382	17.7382	17.7382	1.9031	1.9031	1.9031
NAGLIPASYN-PWY	29.8614	29.8614	29.8614	34.514	34.514	34.514	64.3621	64.3621	64.3621
NONMEVIPP-PWY	71.8509	71.8509	71.8509	43.6892	43.6892	43.6892	76.8282	76.8282	76.8282
NONOXIPENT-PWY	83.1326	83.1326	83.1326	99.5597	99.5597	99.5597	101.1796	101.1796	101.1796
OANTIGEN-PWY	36.0321	36.0321	36.0321	69.8324	69.8324	69.8324	73.6429	73.6429	73.6429
ORNARGDEG-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.73	0.73
P101-PWY	15.6463	15.6463	15.6463	2.8547	2.8547	2.8547	4.4179	4.4179	4.4179
P105-PWY	54.5653	54.5653	54.5653	35.4228	35.4228	35.4228	75.9038	75.9038	75.9038
P108-PWY	18.1389	18.1389	18.1389	38.868	38.868	38.868	48.0094	48.0094	48.0094
P122-PWY	0.0	0.0	0.0	47.909	47.909	47.909	41.3915	41.3915	41.3915
P124-PWY	0.0	0.0	0.0	71.7202	71.7202	71.7202	67.2028	67.2028	67.2028
P125-PWY	39.7325	39.7325	39.7325	2.6336	2.6336	2.6336	0.6065	0.6065	0.6065
P161-PWY	3.9396	3.9396	3.9396	64.4958	64.4958	64.4958	30.6547	30.6547	30.6547
P162-PWY	0.0	0.0	0.0	0.0	0.0	0.0	2.813	2.813	2.813
P163-PWY	3.3704	3.3704	3.3704	4.9271	4.9271	4.9271	0.0	0.0	0.0
P164-PWY	0.0	0.0	0.0	0.0	0.0	0.0	35.7839	35.7839	35.7839
P221-PWY	12.252	12.252	12.252	3.9046	3.9046	3.9046	8.7522	8.7522	8.7522
P23-PWY	48.1697	48.1697	48.1697	48.7557	48.7557	48.7557	32.8479	32.8479	32.8479
P241-PWY	0.0	0.0	0.0	1.1287	1.1287	1.1287	0.5423	0.5423	0.5423
P381-PWY	0.0	0.0	0.0	0.0	0.0	0.0	6.9702	6.9702	6.9702
P4-PWY	55.4431	55.4431	55.4431	65.3939	65.3939	65.3939	70.2952	70.2952	70.2952
P42-PWY	52.8956	52.8956	52.8956	51.8646	51.8646	51.8646	83.1992	83.1992	83.1992
P441-PWY	6.384	6.384	6.384	3.2438	3.2438	3.2438	22.7769	22.7769	22.7769
P461-PWY	5.3693	5.3693	5.3693	5.8195	5.8195	5.8195	3.9183	3.9183	3.9183
P562-PWY	0.0	0.0	0.0	1.071	1.071	1.071	20.664	20.664	20.664
P621-PWY	0.0	0.0	0.0	1.2632	1.2632	1.2632	0.9688	0.9688	0.9688
PANTO-PWY	74.7843	74.7843	74.7843	50.3694	50.3694	50.3694	64.0693	64.0693	64.0693
PANTOSYN-PWY	68.1154	68.1154	68.1154	53.0116	53.0116	53.0116	70.3384	70.3384	70.3384
PENTOSE-P-PWY	22.5186	22.5186	22.5186	81.4352	81.4352	81.4352	61.031	61.031	61.031
PEPTIDOGLYCANSYN-PWY	75.2473	75.2473	75.2473	86.7988	86.7988	86.7988	90.6705	90.6705	90.6705
PHOSLIPSYN-PWY	88.9089	88.9089	88.9089	94.0469	94.0469	94.0469	103.088	103.088	103.088
POLYAMINSYN3-PWY	8.6722	8.6722	8.6722	10.1458	10.1458	10.1458	10.0319	10.0319	10.0319
POLYAMSYN-PWY	9.1255	9.1255	9.1255	10.3256	10.3256	10.3256	10.0031	10.0031	10.0031
POLYISOPRENSYN-PWY	54.9241	54.9241	54.9241	67.0456	67.0456	67.0456	86.1042	86.1042	86.1042
PPGPPMET-PWY	12.2056	12.2056	12.2056	22.1745	22.1745	22.1745	33.8882	33.8882	33.8882
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	7.7356	7.7356	7.7356	3.4092	3.4092	3.4092	30.7498	30.7498	30.7498
PRPP-PWY	47.9764	47.9764	47.9764	47.1706	47.1706	47.1706	68.8369	68.8369	68.8369
PWY-1269	26.2336	26.2336	26.2336	31.6336	31.6336	31.6336	34.4573	34.4573	34.4573
PWY-1622	0.0	0.0	0.0	0.0	0.0	0.0	3.723	3.723	3.723
PWY-181	22.2448	22.2448	22.2448	10.4651	10.4651	10.4651	16.5642	16.5642	16.5642
PWY-2941	59.0771	59.0771	59.0771	15.2395	15.2395	15.2395	11.0384	11.0384	11.0384
PWY-2942	84.6347	84.6347	84.6347	99.8868	99.8868	99.8868	104.4205	104.4205	104.4205
PWY-3001	79.8015	79.8015	79.8015	93.6316	93.6316	93.6316	101.3535	101.3535	101.3535
PWY-3661	0.0	0.0	0.0	6.732	6.732	6.732	0.0	0.0	0.0
PWY-3781	198.1513	198.1513	198.1513	108.793	108.793	108.793	205.0496	205.0496	205.0496
PWY-4984	54.8348	54.8348	54.8348	26.644	26.644	26.644	8.2551	8.2551	8.2551
PWY-5005	6.1231	6.1231	6.1231	4.8853	4.8853	4.8853	26.8344	26.8344	26.8344
PWY-5022	29.2654	29.2654	29.2654	15.5348	15.5348	15.5348	32.4622	32.4622	32.4622
PWY-5028	1.2307	1.2307	1.2307	2.3219	2.3219	2.3219	4.6041	4.6041	4.6041
PWY-5097	64.9743	64.9743	64.9743	95.5228	95.5228	95.5228	99.879	99.879	99.879
PWY-5100	38.3783	38.3783	38.3783	54.3346	54.3346	54.3346	62.0198	62.0198	62.0198
PWY-5101	98.3343	98.3343	98.3343	110.6826	110.6826	110.6826	133.8894	133.8894	133.8894
PWY-5103	84.2014	84.2014	84.2014	95.3892	95.3892	95.3892	107.8223	107.8223	107.8223
PWY-5104	50.3043	50.3043	50.3043	64.0634	64.0634	64.0634	83.1951	83.1951	83.1951
PWY-5121	68.3428	68.3428	68.3428	49.4902	49.4902	49.4902	80.0207	80.0207	80.0207
PWY-5154	34.9311	34.9311	34.9311	36.5685	36.5685	36.5685	38.0487	38.0487	38.0487
PWY-5177	0.0	0.0	0.0	0.0	0.0	0.0	1.9721	1.9721	1.9721
PWY-5178	0.0	0.0	0.0	0.0	0.0	0.0	1.9596	1.9596	1.9596
PWY-5180	0.0	0.0	0.0	11.5772	11.5772	11.5772	22.8873	22.8873	22.8873
PWY-5181	0.0	0.0	0.0	1.0841	1.0841	1.0841	5.7769	5.7769	5.7769
PWY-5182	0.0	0.0	0.0	11.5772	11.5772	11.5772	22.8873	22.8873	22.8873
PWY-5188	74.1684	74.1684	74.1684	39.8593	39.8593	39.8593	83.5019	83.5019	83.5019
PWY-5189	70.0231	70.0231	70.0231	34.5958	34.5958	34.5958	73.8675	73.8675	73.8675
PWY-5265	41.4631	41.4631	41.4631	8.642	8.642	8.642	0.0	0.0	0.0
PWY-5304	6.0	6.0	6.0	3.51	3.51	3.51	69.06	69.06	69.06
PWY-5345	34.3487	34.3487	34.3487	35.8786	35.8786	35.8786	57.3318	57.3318	57.3318
PWY-5347	58.7033	58.7033	58.7033	72.7479	72.7479	72.7479	60.37	60.37	60.37
PWY-5384	6.94	6.94	6.94	53.7856	53.7856	53.7856	20.8439	20.8439	20.8439
PWY-5415	0.0	0.0	0.0	2.2517	2.2517	2.2517	9.6781	9.6781	9.6781
PWY-5417	5.8154	5.8154	5.8154	0.0	0.0	0.0	3.4649	3.4649	3.4649
PWY-5419	4.3764	4.3764	4.3764	7.1014	7.1014	7.1014	3.6536	3.6536	3.6536
