#id	sampleA_R1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8348:5141.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20317:8235.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:5683:6881.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11387:9130.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13311:8431.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17497:8353.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8957:7759.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17273:8684.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:14292:8274.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13376:9184.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17573:4399.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13752:7697.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:23247:10083.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:21911:4886.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:21376:8492.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20094:6947.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10279:9085.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13784:6808.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13832:7737.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13215:6701.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18906:8102.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:22502:10193.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:7331:7215.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16106:7753.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8196:10094.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19777:5786.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16789:10418.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13969:6326.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16908:8716.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:21671:6618.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:27793:9351.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13448:5272.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:6231:9777.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:23653:6394.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9174:7500.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:10924:9728.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19949:3179.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:21162:4005.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:19365:7973.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:25665:8233.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:20617:9061.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18706:4249.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:24522:10168.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8481:10361.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:7859:9912.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16436:4535.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:12743:5435.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13390:9447.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:25960:8991.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:4293:8565.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15745:8059.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:8321:9125.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:15701:5374.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11132:4514.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:17895:5526.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:18337:5669.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9857:9813.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:13597:4552.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:9587:8513.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:11294:9295.1	1
ERR619083.M00704:57:000000000-A5HJE:1:1101:16721:5353.1	1
